Zoidze E.,Scheibel M.,3,1,"['11', '11', '9', '11']","['7', '8', '11', '1']",10.11. 23:15,UJxFS3VQ
Stefanuk O.,Man A.,3,0,"['12', '11', '11']","['10', '6', '2']",10.11. 23:30,d6dBZBrB
Scheibel M.,Zaytseva V.,3,1,"['11', '11', '11', '12']","['9', '13', '5', '10']",10.11. 23:45,MBUtONwr
Stefanuk O.,Guseva V.,1,3,"['9', '7', '13', '7']","['11', '11', '11', '11']",11.11. 00:00,vVoGYVcH
Zoidze E.,Taranik E.,3,1,"['11', '9', '12', '11']","['9', '11', '10', '7']",11.11. 00:15,02TpNsgl
Hrusko I.,Man A.,1,3,"['6', '11', '6', '7']","['11', '8', '11', '11']",11.11. 00:30,ILpKXkDN
Zoidze E.,Zaytseva V.,3,0,"['11', '12', '11']","['6', '10', '4']",11.11. 00:45,rRIkM18f
Man A.,Guseva V.,2,3,"['8', '11', '7', '11', '6']","['11', '9', '11', '6', '11']",11.11. 01:00,nekOW9ST
Scheibel M.,Taranik E.,0,3,"['6', '10', '7']","['11', '12', '11']",11.11. 01:15,f1MgLLN0
Hrusko I.,Stefanuk O.,3,2,"['7', '11', '11', '6', '13']","['11', '7', '8', '11', '11']",11.11. 01:30,l4yjSTzo
Taranik E.,Zaytseva V.,1,3,"['8', '9', '15', '5']","['11', '11', '13', '11']",11.11. 01:45,lOLcKuw7
Scheibel M.,Zoidze E.,1,3,"['13', '9', '11', '9']","['15', '11', '6', '11']",11.11. 02:15,SEK1JahD
Burtseva G.,Ostroverkhova E.,0,3,"['8', '2', '5']","['11', '11', '11']",11.11. 03:00,r5sF9OOl
Rafikova D.,Yushkevich A.,1,3,"['9', '5', '12', '10']","['11', '11', '10', '12']",11.11. 03:30,MetJ8rve
Burtseva G.,Yushkevich A.,2,3,"['11', '3', '11', '8', '7']","['3', '11', '6', '11', '11']",11.11. 04:00,4W3prqVD
Rafikova D.,Ostroverkhova E.,3,2,"['9', '7', '11', '11', '11']","['11', '11', '4', '8', '8']",11.11. 04:30,tdRDQGat
Burtseva G.,Rafikova D.,0,3,"['4', '10', '8']","['11', '12', '11']",11.11. 05:00,zJQHPzFn
Yushkevich A.,Ostroverkhova E.,2,3,"['11', '11', '9', '7', '7']","['9', '9', '11', '11', '11']",11.11. 05:30,lMULOfUh
Ostroverkhova E.,Burtseva G.,3,1,"['12', '12', '8', '11']","['10', '10', '11', '9']",11.11. 06:00,WpKQNEqa
Yushkevich A.,Rafikova D.,2,3,"['11', '8', '7', '11', '9']","['6', '11', '11', '9', '11']",11.11. 06:35,AyJUMYb5
Yushkevich A.,Burtseva G.,3,0,"['11', '11', '11']","['8', '8', '8']",11.11. 07:00,4CXXLhEB
Ostroverkhova E.,Rafikova D.,0,3,"['3', '6', '7']","['11', '11', '11']",11.11. 07:30,r3WyLCTH
Rafikova D.,Burtseva G.,3,1,"['11', '8', '11', '11']","['9', '11', '6', '7']",11.11. 08:00,QRLtKWrO
Ostroverkhova E.,Yushkevich A.,1,3,"['8', '6', '11', '5']","['11', '11', '9', '11']",11.11. 08:30,vVPpJjbU
Nikulin S.,Moshkov I.,3,1,"['12', '5', '11', '11']","['10', '11', '1', '6']",11.11. 10:30,Y7P5hkAA
Fedorov V.,Petrov V.,3,0,"['11', '11', '16']","['5', '6', '14']",11.11. 10:20,4SXldXAo
Balakin D.,Menshikov A.,1,3,"['9', '4', '11', '8']","['11', '11', '7', '11']",11.11. 10:00,tKmuxUPT
Vakar S.,Klavdenkov A.,3,2,"['11', '8', '11', '11', '11']","['13', '11', '4', '6', '8']",11.11. 10:00,ChycfBub
Korolev S.,Pinkovskii P.,3,2,"['11', '10', '11', '9', '11']","['3', '12', '5', '11', '6']",11.11. 09:50,2Ng6XmYp
Burov S.,Zemit I.,1,3,"['11', '9', '6', '10']","['7', '11', '11', '12']",11.11. 09:30,Eog8e04T
Voronov D.,Pravednov A.,1,3,"['11', '11', '7', '9']","['13', '5', '11', '11']",11.11. 06:30,x2yH86Xe
Frolov A. G.,Lobanov A.,3,0,"['11', '11', '11']","['9', '8', '8']",11.11. 06:10,KQtC9nIk
Mohnachev A.,Kuzmin S.,3,1,"['11', '11', '6', '12']","['7', '6', '11', '10']",11.11. 06:00,846PmWeT
Sverdlov M.,Poprocky A.,3,1,"['11', '9', '12', '11']","['5', '11', '10', '4']",11.11. 05:30,f12LlCtN
Sukharnikov N.,Pronin O.,3,2,"['9', '7', '11', '11', '11']","['11', '11', '9', '4', '2']",11.11. 02:00,IsYZLZJP
Ogal S.,Sayanov D.,1,3,"['10', '12', '7', '9']","['12', '10', '11', '11']",11.11. 16:00,vTSDnKwk
Duka A.,Karpovkin G.,1,3,"['3', '8', '11', '9']","['11', '11', '4', '11']",11.11. 18:35,p465v37e
Bychkov S.,Chahur V.,2,3,"['5', '12', '6', '11', '6']","['11', '10', '11', '5', '11']",11.11. 18:45,hU9Dxsx8
Khomutov S.,Tsvetkov V.,1,3,"['11', '8', '9', '7']","['4', '11', '11', '11']",11.11. 18:50,d2zfoZu8
Kim S. I.,Melkov O.,3,2,"['10', '11', '11', '9', '11']","['12', '8', '4', '11', '6']",11.11. 19:00,vR59wNM1
Poletaev I.,Vahnin G.,0,3,"['9', '4', '8']","['11', '11', '11']",11.11. 19:20,zgZcpgeE
Pronin O.,Rachkov V.,3,0,"['11', '11', '11']","['9', '6', '7']",11.11. 19:15,r1qzn6WI
Karpovkin G.,Kim S. I.,0,3,"['4', '5', '7']","['11', '11', '11']",11.11. 19:35,ELiJklXg
Chahur V.,Pronin O.,3,1,"['11', '7', '11', '11']","['6', '11', '9', '7']",11.11. 19:45,rgkBAk9J
Tsvetkov V.,Poletaev I.,2,3,"['7', '11', '5', '11', '5']","['11', '5', '11', '9', '11']",11.11. 19:45,ziUk371g
Melkov O.,Duka A.,3,1,"['10', '11', '11', '11']","['12', '8', '7', '9']",11.11. 20:00,dpsOl8n0
Rachkov V.,Bychkov S.,3,1,"['11', '5', '11', '11']","['9', '11', '8', '7']",11.11. 20:15,MqlF99OP
Vahnin G.,Khomutov S.,3,0,"['11', '11', '15']","['8', '6', '13']",11.11. 20:15,EsTg2RGa
Duka A.,Kim S. I.,3,1,"['11', '11', '5', '14']","['7', '9', '11', '12']",11.11. 20:30,AmoSmS16
Bychkov S.,Pronin O.,3,2,"['16', '7', '7', '11', '11']","['14', '11', '11', '6', '8']",11.11. 20:45,vPzs5TWt
