name,url,scraped
Mishakin V.,/player/mishakin-vladimir/IZRAHYmS,True
Belugin O.,/player/belugin-oleg/A5KA2OWo,True
Savinskiy A.,/player/savinskiy-aleksandr/jL3bah5O,True
Sinkovskiy V.,/player/sinkovskiy-vladimir/fmswjptT,True
Pandur I.,/player/pandur-ivan/xO2u7HiN,True
Selkin V.,/player/selkin-vladimir/8WvRhndA,True
Sadkov A.,/player/sadkov-andrey/nHhcRjcb,True
Meteleshko I.,/player/meteleshko-igor/pzBifdSc,True
Shirshov V.,/player/shirshov-vasily/hnmgv9kK,True
Suvorov V.,/player/suvorov-vadim/ddZ6aKRK,True
Bazhanov S.,/player/bazhanov-sergey/zsP5o4lp,True
Gusev M.,/player/gusev-mikhail/4WN6IEYL,True
Anisimov E.,/player/anisimov-evgeny/Gzcosg77,True
Balakin D.,/player/balakin-dmitriy/6ehOd9mF,True
Ermilov A.,/player/ermilov-alexey/4h3hSWsh,True
Korneev D.,/player/korneev-dmitry/WQyledCA,True
Alekseev A.,/player/akekseev-aleksandr/MZYOIFy0,True
Suraev-Korolev P.,/player/korolev-pavel/6mtw3nv0,True
Poprocky A.,/player/poprocky-aleksandr/UgqQjk5l,True
Yakovlev A.,/player/yakovlev-andrey/vXjWK4u3,True
Tikhnenko D.,/player/tikhnenko-dmitry/0lnic1md,True
Karpovkin G.,/player/karpovkin-gennadiy/WEL634Hu,True
Chernov V.,/player/chernov-vjacheslav/Q7iLFvH9,True
Andreev A.,/player/andreev-andrey/IVgMabO3,True
Popov D.,/player/popov-dmitry/db4f0YkI,True
Pisar A.,/player/pisar-alexey/rmfxiKhl,True
Klimentev V.,/player/klimentev-vladimir/C43tUR1G,True
Andreev D.,/player/andreev-danila/vgzeC8Jg,True
Artamonov N.,/player/artamonov-nikolay/dpmRUtnh,True
Chernjavskiy M.,/player/chernjavskiy-mikhail/UB22bCKU,True
Sverdlov M.,/player/sverdlov-mikhail/OfkXbvDo,True
Shmakov A.,/player/shmakov-andrey/pMFxmObF,True
Menshikov A.,/player/menshikov-andrey/hW2ZXt2G,True
Nemashkalo V.,/player/nemashkalo-vladimir/8hxLdBHQ,True
Novikov I.,/player/novikov-ilya/WzFoLTrr,True
Lavrinenko D.,/player/lavrinenko-dmitry/bNSrc6Ec,True
Sukharnikov N.,/player/sukharnikov-nikita/hhARhAkB,True
Kuzmin S.,/player/kuzmin-sergey/0WAo2fL5,True
Zhulyabin V.,/player/zhulyabin-vladimir/2N1wHJdc,True
Basmanov D.,/player/basmanov-dmitry/O8tg6pGC,True
Pashkov N.,/player/pashkov-nikolay/OEqsWLUu,True
Yusipov T.,/player/timofey-yusipov/YuH4ftYm,True
Pyshkin S.,/player/pyshkin-sergey/CEG8VSU6,True
Ramensky I.,/player/ramensky-igor/0jwV489m,True
Babkin A.,/player/babkin-andrej/M7tzqYIf,True
Aronov A.,/player/aronov-artem/re0j1EzC,True
Komendant Y.,/player/komendant-yuriy/Ii74djAT,True
Andreev O.,/player/andreev-oleg/f1pVE1D5,True
Treshchyov E.,/player/treshchyov-evgeniy/4l30cWfN,True
Kutuzov O.,/player/kutuzov-oleg/MavR5lfs,True
Pavlenko R.,/player/pavlenko-roman/b93VYMnA,True
Smaglyukov V.,/player/smaglyukov-vladislav/dxZk0pOI,True
Vlasov A.,/player/vlasov-aleksey/0Q3465Q9,True
Abanokov Z.,/player/abanokov-zalimgeri/0l46nO5l,True
Zemit I.,/player/zemit-igor/QopGbVI2,True
Minkov M.,/player/minkov-miroslav/dEU8Qqr0,True
Beliakov V.,/player/beliakov-vladimir/S28fJ7Df,True
Migalov I.,/player/migalov-igor/ABmucIsb,True
Zirin A.,/player/zirin-aleksey/AkCuKpsQ,True
Burov S.,/player/burov-sergey/jFdH33AS,True
Sidorin V.,/player/sidorin-valery/QBqsjv8f,True
Rachkov V.,/player/rachkov-vladislav/zmYAbvsR,True
Uezdin A.,/player/uezdin-aleksey/xbqxwBVi,True
Tregub A.,/player/tregub-aleksandr/6gTTX6Sm,True
Zubov D.,/player/zubov-denis/MLicwT4Q,True
Muslikov S.,/player/muslikov-sergey/KdXXWQsf,True
Simonov K.,/player/simonov-konstantin/xpbsrZi1,True
Kolmin A.,/player/kolmin-alexander/YqNeRzwG,True
Kozlovcev V.,/player/kozlovcev-vladimir/hfgDH0nc,True
Kasatkin V.,/player/kasatkin-vladimir/GWS6TWkI,True
Titov A.,/player/titov-andrej/Oxzq98hq,True
Ilin A.,/player/ilin-anatoliy/p6XASj5O,True
Maksakov S.,/player/maksakov-sergei/8pv2lGHM,True
Shirokov V.,/player/shirokov-vladimir/6k9V5xMt,True
Ilyukhin E.,/player/ilyukhin-evgeniy/t6dbAUoQ,True
Osadchiy D.,/player/osadchiy-dmitry/j9TlU4vt,True
Ekzhanov A.,/player/ekzhanov-aleksandr/4Mb5ubUd,True
Agapov A.,/player/agapov-aleksey/SGBsaFUJ,True
Skrebnev A.,/player/skrebnev-aleksandr/QymEwxa9,True
Kuznetsov A.,/player/kuznetsov-alexey/2Z7erTht,True
Chechkov D.,/player/chechkov-denis/0bwx76i1,True
Komarov A.,/player/komarov-alexey/rqzLJeMg,True
Molodtsov D.,/player/molodtsov-denis/rDc9vIq3,True
Churin K.,/player/churin-konstantin/GUsbj7Qr,True
Ivanov Vi.,/player/ivanov-viktor-rus/SxJiikul,True
Merkushin Y.,/player/merkushin-yu/zTXga4wP,True
Yanshaev A.,/player/yanshaev-aleksei/6THej9ff,True
Bazilevskii V.,/player/bazilevskii-vitalii/4Se6ibOp,True
Nikiforov O.,/player/nikiforov-oleg/pETnhVPs,True
Redenkov D.,/player/redenkov-dmitrii/lCVs26g6,True
Trushkin A.,/player/trushkin-anatoly/fDxZ3SOg,True
Khairullin I.,/player/khairullin-ildar/vPKGJeoL,True
Mishutin E.,/player/mishutin-egor/prFZdK0N,True
Gancev S.,/player/gancev-sergey/bF8yLQRJ,True
Vshivkov P.,/player/vshivkov-pavel/4jjT5xp8,True
Duka A.,/player/duka-andrey/pUJMvyST,True
Kononenko A.,/player/kononenko-alexander/CvnQT5mR,True
Kobelev E.,/player/kobelev-evgeniy/2iV4RPSg,True
Vorozheykin A.,/player/vorozheykin-aleksandr/j3pMiVkr,True
Melkov O.,/player/melkov-oleg/j7KIuHCN,True
Sergeevich I.,/player/sergeevich-igor/j9wTHZj6,True
Slashchev A.,/player/slashchev-artem/jD7ZWRyn,True
Iskenderov I.,/player/iskenderov-ivan/dEjG4l8N,True
Minigulov R.,/player/minigulov-rashid/MuCs3z6a,True
Demidov V.,/player/demidov-vladimir/GG2Py8Bk,True
Vologzhanin V.,/player/vologzhanin-vladimir/YicUzSQe,True
Lanovenko S.,/player/lanovenko-sergey/W2uvSvWA,True
Kim S. I.,/player/kim-sen-ir/tMpuRPy8,True
Tukh I.,/player/tukh-igor/4v0YVmX3,True
Vukolov A.,/player/vukolov-andrey/Is4xV7nA,True
Fedorov V.,/player/fedorov-vladislav/QyVNU9q8,True
Vahnin G.,/player/vahnin-georgiy/S4cv4Gjg,True
Kurilchik N.,/player/kurilchik-nikita/EgP6f2F4,True
Suharkov O.,/player/suharkov-oleg/08O3Anl6,True
Slachshilin A.,/player/slachshilin-aleksei/xxlZtwOB,True
Pronkin M.,/player/pronkin-maxim/fZyk7Q06,True
Khomenko R.,/player/khomenko-roman/pUuhfGRG,True
Buyanin I.,/player/buyanin-ivan/fJDTmJrD,True
Morozov S.,/player/morozov-sergey/rqhGDlpS,True
Ambrosimov F.,/player/ambrosimov-fyodor/lfEohxKf,True
Makarov D.,/player/makarov-denis/l2nqdxc4,True
Ovchinnikov A.,/player/ovchinnikov-andrei/2TYn8S7k,True
Demic Y.,/player/demic-ying/Q1ps3JtP,True
Chentsov A.,/player/chentsov-aleksandr/pxd1sbB8,True
Petrov V.,/player/petrov-vladimir/AVg8FAFF,True
Frolov A. G.,/player/frolov-aleksandr/lEbz5dym,True
Arutiunyan A.,/player/arutiunyan-artem/d4oIPI9d,True
Khomutov S.,/player/khomutov-sergey/rDkO39v8,True
Matveyev I.,/player/matveyev-igor/COBrA77H,True
Poletaev I.,/player/poletaev-igor/IqZbBSYa,True
Pinkovskii P.,/player/pinkovskii-pavel/QHUx2Sur,True
Khudaiberdiev Z.,/player/khudaiberdiev-zhasur/dM2JIEY7,True
Rakhmanov V.,/player/rakhmanov-viktor/fszbkd2G,True
Krokhin V.,/player/krohin-vadim/fDt2N4iE,True
Elistratov I.,/player/elistratov-igor/bTmAD4fO,True
Frolov A. I.,/player/frolov-aleksandr-ivanovich/ShXoymVh,True
Kryuchkov E.,/player/kryuchkov-evgenii/EBS7963C,True
Ermilin V.,/player/ermilin-vyacheslav/8YRB8QII,True
Alov R.,/player/alov-roman/UaxXGg6C,True
Bogomolov A.,/player/bogomolov-albert/MZrVi6BG,True
Shavanov T.,/player/shavanov-taras/UcPZBrJs,True
Merezhko A.,/player/merezhko-aleksandr/EsJlThJL,True
Esin A.,/player/esin-anton/jLXjSGN9,True
Sebekin D.,/player/sebekin-dmitriy/vuiIxdEF,True
Suntsov A.,/player/suntsov-artem/6RftzLNq,True
Ziuzikov P.,/player/ziuzikov-petr/80xnYfym,True
Tarasenkov N.,/player/tarasenkov-nikolay/EelkukzE,True
Serebrennikov A.,/player/serebrennikov-alexandr/YugxnNBA,True
Bychkov S.,/player/bychkov-stanislav/EVxHci2K,True
Pronin O.,/player/pronin-oleg/QRVuFXzP,True
Myagkov S.,/player/myagkov-sergey/zuvDbXnE,True
Abelmasov I.,/player/abelmasov-igor/zynVT01b,True
Vyaznikov S.,/player/vyaznikov-sergey/EXN9pO3j,True
Radchenko A.,/player/radchenko-aleksandr/xGANGEid,True
Semeshin P.,/player/semeshin-pavel/CORyGDLI,True
Antonov V.,/player/antonov-vitaly/l0mVuGIH,True
Putilovsky V.,/player/putilovsky-vadim/0G62Hor7,True
Sayanov D.,/player/sayanov-denis/SCJE3FVm,True
Ogay S.,/player/ogay-sergey/pKG8JfBF,True
Ogal S.,/player/ogal-sergei/OUHxVPW3,True
Petrov A.,/player/petrov-aleksandr/z958m7vD,True
Minchenkov I.,/player/minchenkov-igor/6g7bIRS0,True
Smirnov I.,/player/smirnov-igor/bNfUZmAD,True
Shagarov O.,/player/shagarov-oleg/v1bz8dsP,True
Uvarov A.,/player/uvarov-alexey/IZ92NRyr,True
Tyurin E.,/player/tyurin-evgeny/UkD0a3Ki,True
Mohnachev A.,/player/mohnachev-anton/ARDkKmbl,True
Chahur V.,/player/chahur-vladislav/vwtL38NT,True
Klavdenkov A.,/player/klavdenkov-alexander/YPxlZOzf,True
Volkov A.,/player/volkov-aleksandr/lC9CnRgJ,True
Ivanov Va.,/player/ivanov-valery-leonidovich/8WCsZngM,True
Soldatov I.,/player/soldatov-ivan/2BZN6jqJ,True
Lytko A.,/player/lytko-andrey/AeyLau7j,True
Petrochenko D.,/player/petrochenko-dmitry/AT6wuqHu,True
Turabekov T.,/player/turabekov-tynchtyk/lpsCLHis,True
Ignatiev D.,/player/ignatiev-dmitry/tv6kZzMt,True
Zhurba N.,/player/zhurba-nikolai/CjA6G5cD,True
Pravednov A.,/player/pravednov-andrey/MFATWTHc,True
Glazun E.,/player/glazun-evgeniy/61i521hI,True
Afanasiyev A.,/player/afanasiyev-aleksey/E3vFn4bA,True
Grebenyuk B.,/player/grebenyuk-bogdan/j9T6mzXS,True
Safonov V.,/player/safonov-vladimir/KbdrGwC3,True
Reva A.,/player/reva-aleksandr/O48NlAgF,True
Kovorotushin E.,/player/kovorotushin-evgeniy/rPNIFeQc,True
Zhuravlev A.,/player/zhuravlev-aleksandr/AR3dbCuH,True
Starski A.,/player/starski-anton/tvMtjzcQ,True
Placteev N.,/player/placteev-nikolay/jZQNV5Wc,True
Gutnichenko A.,/player/gutnichenko-aleksey/nHMxiGsK,True
Kidalov V.,/player/kidalov-valeriy/fFaNP1Kf,True
Ptitsyn D.,/player/ptitsyn-dmitriy/2aNPUhd6,True
Kievskiy Y.,/player/kievskiy-yuriy/Wnc9JeTg,True
Gedz V.,/player/gedz-valentin/vF1HqYZg,True
Kushko D.,/player/kushko-dmitriy/M1oM3A6R,True
Sytnik A.,/player/sytnik-andrey/CtFOsC46,True
Burdakov A.,/player/burdakov-andrey/Wz5hahQA,True
Kuzminich A.,/player/kuzminich-alexander/ne7JfWKb,True
Plakhteyev N.,/player/plakhteyev-nikolay/WlKEGyBi,True
Zakharov Y.,/player/zakharov-yan/W61O8ayE,True
Oprishchenko E.,/player/oprishchenko-egor/O8v9gG7H,True
Rafikov R.,/player/rafikov-rafael/lpo4jlOd,True
Pavlyuk R.,/player/pavlyuk-roman/8GdFUWa3,True
Kubrak S.,/player/kubrak-serhii/vVuANCe5,True
