,lPlayer,rPlayer,id,mergeCol
0,Mishakin V.,Belugin O.,6civ8qu0,Mishakin V.6civ8qu0
1,Savinskiy A.,Mishakin V.,fNmz9PPg,Savinskiy A.fNmz9PPg
2,Mishakin V.,Sinkovskiy V.,UwkKodSS,Mishakin V.UwkKodSS
3,Mishakin V.,Pandur I.,E3G2nI5H,Mishakin V.E3G2nI5H
4,Selkin V.,Mishakin V.,jcZOXZpQ,Selkin V.jcZOXZpQ
5,Mishakin V.,Pandur I.,zkixAWhJ,Mishakin V.zkixAWhJ
6,Savinskiy A.,Mishakin V.,Kx9tRUSH,Savinskiy A.Kx9tRUSH
7,Mishakin V.,Sinkovskiy V.,dQGCB1EH,Mishakin V.dQGCB1EH
8,Sadkov A.,Mishakin V.,M9BPwRZs,Sadkov A.M9BPwRZs
9,Meteleshko I.,Mishakin V.,vk80qmCK,Meteleshko I.vk80qmCK
10,Mishakin V.,Sinkovskiy V.,KrUZz423,Mishakin V.KrUZz423
11,Shirshov V.,Mishakin V.,byzxLtxr,Shirshov V.byzxLtxr
12,Mishakin V.,Sadkov A.,6i0aitFp,Mishakin V.6i0aitFp
13,Belugin O.,Mishakin V.,Ea8XeM6T,Belugin O.Ea8XeM6T
14,Mishakin V.,Shirshov V.,vq5SXfIf,Mishakin V.vq5SXfIf
15,Mishakin V.,Suvorov V.,hO0zY5T2,Mishakin V.hO0zY5T2
16,Mishakin V.,Suvorov V.,nc0MwYSK,Mishakin V.nc0MwYSK
17,Bazhanov S.,Mishakin V.,byKRHj61,Bazhanov S.byKRHj61
18,Mishakin V.,Sadkov A.,pI9eb59B,Mishakin V.pI9eb59B
19,Mishakin V.,Gusev M.,bedoQf42,Mishakin V.bedoQf42
20,Anisimov E.,Mishakin V.,lK1J4qw2,Anisimov E.lK1J4qw2
21,Gusev M.,Mishakin V.,tfbB658k,Gusev M.tfbB658k
22,Mishakin V.,Bazhanov S.,dUfeqxBO,Mishakin V.dUfeqxBO
23,Balakin D.,Mishakin V.,fuH8iLqD,Balakin D.fuH8iLqD
24,Mishakin V.,Ermilov A.,riSb2I9b,Mishakin V.riSb2I9b
25,Mishakin V.,Balakin D.,dzQn5KPu,Mishakin V.dzQn5KPu
26,Korneev D.,Mishakin V.,jPPhmn4f,Korneev D.jPPhmn4f
27,Belugin O.,Savinskiy A.,EHoYDMFC,Belugin O.EHoYDMFC
28,Sinkovskiy V.,Belugin O.,00lW95Am,Sinkovskiy V.00lW95Am
29,Belugin O.,Savinskiy A.,WnynsGzp,Belugin O.WnynsGzp
30,Alekseev A.,Belugin O.,dlqEi16A,Alekseev A.dlqEi16A
31,Belugin O.,Suraev-Korolev P.,noxEuIJA,Belugin O.noxEuIJA
32,Alekseev A.,Belugin O.,4Mn9tb44,Alekseev A.4Mn9tb44
33,Belugin O.,Poprocky A.,AmX4mCGe,Belugin O.AmX4mCGe
34,Belugin O.,Suraev-Korolev P.,OhKYa1IF,Belugin O.OhKYa1IF
35,Yakovlev A.,Belugin O.,p2LU0s39,Yakovlev A.p2LU0s39
36,Belugin O.,Tikhnenko D.,OIoLTxxK,Belugin O.OIoLTxxK
37,Belugin O.,Poprocky A.,WhniMMWH,Belugin O.WhniMMWH
38,Belugin O.,Suraev-Korolev P.,4vQx8Fqh,Belugin O.4vQx8Fqh
39,Poprocky A.,Belugin O.,h4MY8eUo,Poprocky A.h4MY8eUo
40,Belugin O.,Tikhnenko D.,KGiKkYTN,Belugin O.KGiKkYTN
41,Belugin O.,Karpovkin G.,UJQx2413,Belugin O.UJQx2413
42,Poprocky A.,Belugin O.,W8lUBDs4,Poprocky A.W8lUBDs4
43,Karpovkin G.,Belugin O.,phjMDZCi,Karpovkin G.phjMDZCi
44,Belugin O.,Chernov V.,tdFkwYJs,Belugin O.tdFkwYJs
45,Belugin O.,Suraev-Korolev P.,Qum0pfX4,Belugin O.Qum0pfX4
46,Suraev-Korolev P.,Belugin O.,EgmHEzMN,Suraev-Korolev P.EgmHEzMN
47,Poprocky A.,Belugin O.,6Tq9GdiB,Poprocky A.6Tq9GdiB
48,Belugin O.,Yakovlev A.,Sxo5Hxx5,Belugin O.Sxo5Hxx5
49,Belugin O.,Selkin V.,UyGK048I,Belugin O.UyGK048I
50,Belugin O.,Sinkovskiy V.,vc8g3nHf,Belugin O.vc8g3nHf
51,Belugin O.,Anisimov E.,0lIJ9lvR,Belugin O.0lIJ9lvR
52,Selkin V.,Belugin O.,WY9gnft3,Selkin V.WY9gnft3
53,Alekseev A.,Belugin O.,GG0QQTJO,Alekseev A.GG0QQTJO
54,Belugin O.,Sadkov A.,Ua2ISkkC,Belugin O.Ua2ISkkC
55,Chernov V.,Belugin O.,8pE9UBKa,Chernov V.8pE9UBKa
56,Belugin O.,Andreev A.,WxMaN6bJ,Belugin O.WxMaN6bJ
