,0
0,last_Player_Games_len_cumsum_left
1,last_Player_ScoretoScore_Games_len_ave_left
2,last_other_label_Player_Score_rolling_5_left
3,last_other_label_Player_Win_rolling_5_left
4,last_other_label_Player_Score_other_label_Player_num_match_ave_left
5,last_other_label_Player_ScoretoScore_Games_len_ave_left
6,last_other_label_Player_Win_Games_len_ave_left
7,last_Player_Win_cumsum_right
8,last_Player_Games_len_cumsum_right
9,last_Player_ScoretoScore_Player_num_match_ave_right
10,last_Player_ScoretoScore_Games_len_ave_right
11,last_other_label_Player_Win_rolling_5_right
12,last_other_label_Player_Score_other_label_Player_num_match_ave_right
13,last_other_label_Player_Win_other_label_Player_num_match_ave_right
14,last_other_label_Player_Score_Games_len_ave_right
15,last_other_label_Player_ScoretoScore_Games_len_ave_right
16,last_other_label_Player_Win_Games_len_ave_right
17,last_Player_Score_Player_num_match_ave_diff
18,last_Player_Score_Games_len_ave_diff
19,last_other_label_Player_Score_cumsum_diff
20,last_other_label_Player_ScoretoScore_cumsum_diff
21,last_other_label_Player_Score_rolling_5_diff
22,last_other_label_Player_Score_other_label_Player_num_match_ave_diff
23,last_other_label_Player_Score_Games_len_ave_diff
24,last_other_label_Player_ScoretoScore_Games_len_ave_diff
25,last_other_label_Player_Win_Games_len_ave_diff
